Cluster,RA,DEC,R_Sun,R_GC,Mass,rc,rhm,rt,rho_c,sig0,vesc,RV,pmra,pmdec,RPERI,RAPO,c,Porb
NGC_104,6.02379,-72.08131,4.52,7.52,8.95E+05,0.79,6.30,126.80,4.37,11.9,47.5,-17.45,5.252,-2.551,5.47,7.51,2.205,194.526
NGC_288,13.18850,-26.58261,8.99,12.21,9.34E+04,3.59,8.37,94.86,1.80,3.1,10.8,-44.45,4.164,-5.705,2.03,12.34,1.422,170.579
NGC_362,15.80942,-70.84878,8.83,9.62,2.84E+05,0.40,3.79,91.96,4.67,8.6,31.5,223.12,6.694,-2.535,0.73,11.86,2.362,173.381
Whiting_1,30.73750,-3.25278,30.59,35.15,1.97E+03,2.45,15.49,48.59,0.25,0.4,1.3,-130.41,-0.228,-2.046,21.58,61.96,1.297,2167.024
NGC_1261,48.06754,-55.21622,16.40,18.28,1.82E+05,0.88,5.23,140.39,3.78,5.7,21.8,71.34,1.596,-2.064,1.48,21.09,2.203,277.828
Pal_1,53.33350,79.58105,11.18,17.41,1.03E+03,0.69,3.56,23.78,1.68,0.5,1.9,-75.72,-0.252,0.007,14.71,19.02,1.537,535.500
AM_1,58.75959,-49.61528,118.91,120.27,1.92E+04,6.56,19.86,266.24,0.22,0.9,3.3,118.00,0.291,-0.177,21.05,125.68,1.608,2022.217
Eridanus,66.18561,-21.18678,84.68,89.76,1.16E+04,6.83,17.91,169.17,0.02,0.7,2.6,-23.15,0.510,-0.301,14.17,120.26,1.394,3620.862
Pal_2,71.52462,31.38150,26.17,34.19,2.31E+05,1.63,8.06,161.79,2.96,5.1,19.6,-135.97,1.045,-1.522,1.28,38.87,1.997,539.021
NGC_1851,78.52816,-40.04655,11.95,16.69,3.18E+05,0.08,2.90,127.09,6.25,11.0,45.7,321.40,2.145,-0.650,0.85,19.93,3.201,279.242
NGC_1904,81.04584,-24.52442,13.08,19.09,1.39E+05,0.42,3.21,65.68,4.49,6.5,26.2,205.76,2.469,-1.594,0.56,19.48,2.194,249.077
NGC_2298,102.24754,-36.00531,9.83,15.07,5.58E+04,0.53,3.31,74.71,3.70,3.9,15.7,147.15,3.320,-2.175,1.10,16.44,2.149,211.322
NGC_2419,114.53529,38.88194,88.47,95.93,9.71E+05,8.08,26.50,829.02,1.67,5.7,20.5,-21.10,0.007,-0.523,14.64,96.99,2.011,2273.995
Pyxis,136.98690,-37.22660,36.53,38.61,2.46E+04,13.36,22.83,121.56,-0.33,1.0,3.2,40.46,1.030,0.138,18.38,95.06,0.959,2712.724
NGC_2808,138.01291,-64.86349,10.06,11.58,8.64E+05,0.79,3.89,165.91,4.56,14.1,54.7,103.57,0.994,0.273,0.98,14.61,2.322,317.019
E_3,140.23779,-77.28189,7.88,9.10,2.89E+03,1.81,6.14,20.79,1.03,0.6,2.3,11.71,-2.727,7.083,9.00,12.10,1.060,361.160
Pal_3,151.38162,0.07167,94.84,98.17,1.89E+04,14.31,27.44,249.68,-0.57,0.8,2.5,94.04,0.086,-0.148,53.43,111.75,1.242,3611.127
NGC_3201,154.40343,-46.41248,4.74,8.93,1.6E+05,1.22,6.78,77.53,3.25,4.6,18.4,493.65,8.348,-1.958,8.32,25.49,1.803,677.778
Pal_4,172.31833,28.97337,101.39,104.05,1.29E+04,11.38,21.30,198.06,-0.45,0.7,2.4,72.40,-0.188,-0.476,6.47,106.82,1.241,1724.133
Crater,174.06875,-10.87697,147.23,147.00,1.08E+04,12.72,25.74,236.83,-0.69,0.6,1.9,148.10,-0.059,-0.116,79.65,193.24,1.270,3228.839
NGC_4147,182.52626,18.54264,18.54,20.74,3.9E+04,0.36,4.03,89.25,3.88,3.2,13.0,179.35,-1.707,-2.090,1.38,25.28,2.394,356.198
NGC_4372,186.43910,-72.65908,5.71,7.22,1.98E+05,3.79,8.53,75.02,2.08,4.5,15.7,75.59,-6.409,3.297,2.92,7.24,1.297,153.395
Rup_106,189.66750,-51.15028,20.71,18.04,3.42E+04,5.11,11.57,71.64,0.92,1.6,5.6,-38.36,-1.254,0.401,4.64,34.77,1.147,814.000
NGC_4590,189.86658,-26.74406,10.40,10.35,1.22E+05,1.96,7.58,77.43,2.53,3.7,14.2,-93.11,-2.739,1.779,8.95,29.51,1.597,807.953
BH_140,193.47292,-67.17728,4.81,6.86,5.99E+04,4.82,9.53,51.41,1.31,2.4,8.0,90.30,14.848,1.224,2.01,9.95,1.028,8769.244
NGC_4833,194.89134,-70.87650,6.48,7.13,2.06E+05,1.54,4.76,80.15,3.13,6.1,22.5,201.99,-8.377,-0.963,0.85,7.65,1.716,172.029
NGC_5024,198.23021,18.16817,18.50,19.00,4.55E+05,2.31,10.18,177.72,2.87,6.3,24.1,-63.37,-0.133,-1.331,9.17,22.67,1.886,538.036
NGC_5053,199.11288,17.70025,17.54,18.01,7.42E+04,10.30,17.31,97.05,0.50,2.0,6.3,42.82,-0.329,-1.213,10.86,17.96,0.974,462.689
NGC_5139,201.69699,-47.47947,5.43,6.50,3.64E+06,4.28,10.36,202.91,3.25,17.7,63.9,232.78,-3.250,-6.746,1.50,6.94,1.676,92.165
NGC_5272,205.54842,28.37728,10.18,12.09,4.06E+05,1.23,6.34,127.28,3.67,7.6,30.0,-147.20,-0.152,-2.670,5.25,15.78,2.015,377.592
NGC_5286,206.61171,-51.37425,11.10,8.46,3.53E+05,0.40,3.79,93.89,4.81,9.7,39.6,62.38,0.198,-0.153,0.97,12.81,2.371,161.852
